consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no
y,2.56691,TOUGH,1.606515,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5f1bebcda73eec4267708621,01/03/1998,2020-08-13_13h09.32.987,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f35279354a878489933b3d1,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5f1bebcda73eec4267708621,01/03/1998,2020-08-13_13h09.32.987,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f35279354a878489933b3d1,3,0,0,0,0,1,chameleon,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5f1bebcda73eec4267708621,01/03/1998,2020-08-13_13h09.32.987,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f35279354a878489933b3d1,3,0,1,1,2,1,lobster,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5f1bebcda73eec4267708621,01/03/1998,2020-08-13_13h09.32.987,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f35279354a878489933b3d1,3,0,2,2,1,1,hose,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5f1bebcda73eec4267708621,01/03/1998,2020-08-13_13h09.32.987,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f35279354a878489933b3d1,3,0,3,3,4,1,peach,,,,,,,,,,,,
,,GENIUS,1.81375,1,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5f1bebcda73eec4267708621,01/03/1998,2020-08-13_13h09.32.987,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f35279354a878489933b3d1,3,,,,,,chameleon,0,0,0,0,1,,,,,,,
,,DEVIL,2.43511,1,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5f1bebcda73eec4267708621,01/03/1998,2020-08-13_13h09.32.987,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f35279354a878489933b3d1,3,,,,,,crow,0,1,1,3,1,,,,,,,
,,LOSS,4.419245,1,,,,,,stimuli/images/PICTURE_378.png,LOSS,5f1bebcda73eec4267708621,01/03/1998,2020-08-13_13h09.32.987,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f35279354a878489933b3d1,3,,,,,,lobster,0,2,2,2,1,,,,,,,
,,CELL,1.79938,1,,,,,,stimuli/images/PICTURE_727.png,CELL,5f1bebcda73eec4267708621,01/03/1998,2020-08-13_13h09.32.987,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f35279354a878489933b3d1,3,,,,,,hose,0,3,3,1,1,,,,,,,
,,KILLER,1.53518,1,,,,,,stimuli/images/PICTURE_697.png,KILLER,5f1bebcda73eec4267708621,01/03/1998,2020-08-13_13h09.32.987,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f35279354a878489933b3d1,3,,,,,,peach,0,4,4,4,1,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_93.png,GIRL,5f1bebcda73eec4267708621,01/03/1998,2020-08-13_13h09.32.987,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f35279354a878489933b3d1,3,,,,,,skateboard,,,,,,0,0,0,31,1,4,2
,,,,,,,,,,stimuli/images/PICTURE_470.png,BEAUTY,5f1bebcda73eec4267708621,01/03/1998,2020-08-13_13h09.32.987,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f35279354a878489933b3d1,3,,,,,,motorbike,,,,,,0,1,1,26,1,3,2
,,,,,,,,,,stimuli/images/PICTURE_285.png,PRINCE,5f1bebcda73eec4267708621,01/03/1998,2020-08-13_13h09.32.987,proactive2,2020.1.2,MacIntel,60,5f341be081b9052c55068110,5f35279354a878489933b3d1,3,,,,,,carrot,,,,,,0,2,2,20,1,3,2
