file,image,word,list_no,block_no
stimuli/images/PICTURE_452.png,watch,COPS,1,2
stimuli/images/PICTURE_2.png,tyre,JUNGLE,1,2
stimuli/images/PICTURE_405.png,anchor,HOUSE,1,2
stimuli/images/PICTURE_311.png,razor,FLESH,1,2
stimuli/images/PICTURE_348.png,pepper,TOILET,1,2
stimuli/images/PICTURE_215.png,boot,FOOD,1,2
stimuli/images/PICTURE_285.png,carrot,WRITER,1,2
stimuli/images/PICTURE_509.png,telephone,SHOTS,1,2
stimuli/images/PICTURE_123.png,dart,SALE,1,2
stimuli/images/PICTURE_403.png,cathedral,FAMILY,1,2
stimuli/images/PICTURE_654.png,pencil,COPS,2,2
stimuli/images/PICTURE_564.png,spoon,PLENTY,2,2
stimuli/images/PICTURE_57.png,stamp,CASINO,2,2
stimuli/images/PICTURE_405.png,anchor,JUNGLE,2,2
stimuli/images/PICTURE_677.png,map,PHOTO,2,2
stimuli/images/PICTURE_509.png,telephone,BATH,2,2
stimuli/images/PICTURE_160.png,wheelbarrow,HOTEL,2,2
stimuli/images/PICTURE_327.png,helmet,LEADER,2,2
stimuli/images/PICTURE_296.png,bolt,CLOCK,2,2
stimuli/images/PICTURE_255.png,shovel,PENNY,2,2
stimuli/images/PICTURE_285.png,carrot,PRINCE,3,2
stimuli/images/PICTURE_57.png,stamp,NATION,3,2
stimuli/images/PICTURE_18.png,planet,RIVER,3,2
stimuli/images/PICTURE_68.png,candle,KIND,3,2
stimuli/images/PICTURE_215.png,boot,BOYS,3,2
stimuli/images/PICTURE_177.png,mushroom,HOUSE,3,2
stimuli/images/PICTURE_470.png,motorbike,BEAUTY,3,2
stimuli/images/PICTURE_667.png,daisy,GLASS,3,2
stimuli/images/PICTURE_208.png,microphone,SPIRIT,3,2
stimuli/images/PICTURE_33.png,frame,COPS,3,2
stimuli/images/PICTURE_141.png,sunflower,CLIENT,4,2
stimuli/images/PICTURE_93.png,skateboard,GIRL,4,2
stimuli/images/PICTURE_2.png,tyre,AREA,4,2
stimuli/images/PICTURE_147.png,hanger,LEADER,4,2
stimuli/images/PICTURE_487.png,basket,POLICY,4,2
stimuli/images/PICTURE_314.png,perfume,SPEECH,4,2
stimuli/images/PICTURE_504.png,wheel,HOUSE,4,2
stimuli/images/PICTURE_95.png,suitcase,NIGHT,4,2
stimuli/images/PICTURE_509.png,telephone,APPLE,4,2
stimuli/images/PICTURE_491.png,rug,SERIES,4,2
stimuli/images/PICTURE_470.png,motorbike,MOMENT,5,2
stimuli/images/PICTURE_654.png,pencil,YEAR,5,2
stimuli/images/PICTURE_688.png,runner,CLOCK,5,2
stimuli/images/PICTURE_215.png,boot,LEADER,5,2
stimuli/images/PICTURE_750.png,kettle,POLICY,5,2
stimuli/images/PICTURE_708.png,monkey,VALLEY,5,2
stimuli/images/PICTURE_356.png,pawn,CANDY,5,2
stimuli/images/PICTURE_692.png,cherry,DUDE,5,2
stimuli/images/PICTURE_453.png,scissors,FAMILY,5,2
stimuli/images/PICTURE_509.png,telephone,MILLER,5,2
stimuli/images/PICTURE_487.png,basket,ROOF,6,2
stimuli/images/PICTURE_297.png,aeroplane,BODY,6,2
stimuli/images/PICTURE_57.png,stamp,CANDY,6,2
stimuli/images/PICTURE_677.png,map,FAMILY,6,2
stimuli/images/PICTURE_311.png,razor,TOILET,6,2
stimuli/images/PICTURE_2.png,tyre,YARD,6,2
stimuli/images/PICTURE_32.png,crown,LETTER,6,2
stimuli/images/PICTURE_655.png,megaphone,SALE,6,2
stimuli/images/PICTURE_405.png,anchor,JUNGLE,6,2
stimuli/images/PICTURE_348.png,pepper,DUDE,6,2
